CONCURSO,R1,R2,R3,R4,R5,R6,R7,BOLSA,FECHA
3439,1,11,14,23,46,49,34,52300000,10/3/21
3438,4,7,18,19,20,37,17,49000000,7/3/21
3437,10,14,15,23,49,52,4,45500000,3/3/21
3436,15,27,30,38,44,55,41,41300000,28/02/2021
3435,4,22,28,38,49,51,32,37900000,24/02/2021
3434,3,14,19,25,39,50,49,34300000,21/02/2021
3433,1,6,36,42,44,45,19,30900000,17/02/2021
3432,2,5,15,17,44,55,12,30700000,14/02/2021
3431,9,17,18,31,41,54,8,30600000,10/2/21
3430,6,11,25,38,50,53,47,30500000,7/2/21
3429,1,6,27,31,37,48,55,30400000,3/2/21
3428,5,18,25,35,39,48,16,30300000,31/01/2021
3427,15,17,18,28,30,40,3,30200000,27/01/2021
3426,2,4,21,25,33,46,17,30100000,24/01/2021
3425,12,15,25,32,34,50,51,30000000,20/01/2021
3424,24,31,44,47,54,56,50,30500000,17/01/2021
3423,6,10,30,31,34,36,47,30400000,13/01/2021
3422,1,13,42,45,50,53,33,30300000,10/1/21
3421,18,22,23,33,52,54,11,30200000,6/1/21
3420,5,9,26,39,40,43,48,30100000,3/1/21
3419,13,18,22,29,33,50,6,30000000,30/12/2020
3418,1,3,14,26,29,32,51,305700000,27/12/2020
3417,9,16,19,33,46,50,10,301500000,23/12/2020
3416,7,10,37,45,54,55,23,297100000,20/12/2020
3415,22,24,25,31,32,56,38,293200000,16/12/2020
3414,4,17,30,36,42,53,32,288600000,13/12/2020
3413,9,25,27,30,31,41,2,285200000,9/12/20
3412,5,26,38,48,50,54,13,280800000,6/12/20
3411,6,17,21,26,41,51,30,277200000,2/12/20
3410,11,13,25,27,48,53,18,273600000,29/11/2020
3409,9,37,40,42,50,55,45,269800000,25/11/2020
3408,3,8,32,37,39,43,30,265800000,22/11/2020
3407,11,15,28,31,39,50,2,262300000,18/11/2020
3406,1,5,15,18,24,54,50,258700000,15/11/2020
3405,7,16,18,24,46,54,49,255500000,11/11/20
3404,1,11,20,38,41,43,39,252000000,8/11/20
3403,1,3,5,53,54,56,42,248100000,4/11/20
3402,16,18,34,42,47,55,43,244000000,1/11/20
